Link,Name,Restaurant ID,Rating,No. of Votes,Address,Cuisine,Cost for Two
https://www.zomato.com/kolkata/shyam-andhra-mess-1-dobson-road-howrah,Shyam Andhra Mess Howrah,19133551,NEW,0,"19, Gulmohar Railway Quarters, Mali Panchghara, Dobson Road, Howrah",South Indian,₹100 
https://www.zomato.com/kolkata/the-combo-king-barasat,The Combo King Kolkata,19096920,NEW,0,"289, Sodepur Road, Madhyamgram, North 24 Paraganas, Barasat, Kolkata","North Indian, Chinese",₹300 
https://www.zomato.com/kolkata/pet-pujo-baguihati,Pet Pujo Kolkata,18855931,-,0,"14/38, Gorkhasa Basi Road, Arjunpur Bazar, Utkarshini Apartment, Baguihati, Kolkata","Indian, Chinese, Tibetan, Rolls, Biryani",₹300 
https://www.zomato.com/kolkata/the-chocolatier-bangur,The Chocolatier Kolkata,25505,3.8,63,"42/43, Akhiya Villa, Block C, Bangur, Kolkata","Bakery, Desserts",₹200 
https://www.zomato.com/kolkata/modern-food-center-tollygunge,Modern Food Center Kolkata,18917648,3.1,4,"1/47, Arobinda Nagar, Tollygunge, Kolkata",Chinese,₹250 
https://www.zomato.com/kolkata/roasted-capsicum-gariahat,Roasted Capsicum Kolkata,18683285,2.6,79,"1/424 Gariahat Road South Selimpur Bus Stop, Gariahat, Kolkata","North Indian, Chinese",₹500 
https://www.zomato.com/kolkata/sen-mahasay-bhawanipur,Sen Mahasay Kolkata,24535,3.4,19,"40, Ashutosh Mukherjee Road, Bhawanipur, Kolkata",Mishti,₹100 
https://www.zomato.com/kolkata/uddta-punjab-dhaba-park-street-area,Uddta Punjab Dhaba Kolkata,18854353,3,37,"57 A, 1st Floor, Park Street Area, Kolkata","North Indian, Fast Food",₹650 
https://www.zomato.com/kolkata/green-palace-bhawanipur,Green Palace Kolkata,21318,3.7,180,"42 B, Ashutosh Mukharjee Road, Bhawanipur, Kolkata","North Eastern, Chinese, Kebab",₹600 
https://www.zomato.com/kolkata/lakshmi-narayan-shaw-son-hatibagan,Lakshmi Narayan Shaw & Son Kolkata,18134901,4.1,201,"158, Bidhan Sarani, Hatibagan, Kolkata",Street Food,₹150 
https://www.zomato.com/kolkata/the-sstreeet-kankurgachi,The SStreeet Kolkata,18651487,3.2,29,"33/1A, UC Banerjee Road, Kankurgachi, Kolkata",Fast Food,₹250 
https://www.zomato.com/kolkata/singh-flavours-chinar-park,Singh Flavours Kolkata,18420512,3.8,447,"Shristi Plaza, Salua Bazar, Rajarhat Road, Chinar Park, Kolkata","North Indian, Biryani, Chinese, Mughlai",₹500 
https://www.zomato.com/kolkata/frozen-fork-elgin,Frozen Fork Kolkata,19016707,3.8,71,"8/1 Louden Street, Near Sheakspear Sarani Police Station, Elgin, Kolkata","Desserts, Bakery, Beverages",₹300 
https://www.zomato.com/kolkata/tapri-bangur,Tapri Kolkata,19111625,3.5,0,"1/20, Bangur Avenue, Block C, South Dumdum Municipality, North 24 Parganas, Bangur, Kolkata","North Indian, Fast Food, Street Food",₹300 
